schema_id,label_schema_id,speaker_id,recording_id,buffer_id,cutpoint_id,candidate_id,time_sec,original_score,detector_name,source_id,interval_start_sec,interval_end_sec,center_rms,rms_percentile,rms_valley_depth,rms_valley_width,left_rms,right_rms,rms_asymmetry,zcr_40ms,zcr_80ms,abs_amplitude_p90,short_window_energy_variance,spectral_flatness,high_frequency_energy_fraction,vad_mean_64ms,low_vad_run_width,y_inside,y_gt20ms,y_gt50ms,state_inside,state_gt20ms,state_gt50ms,geometry_fingerprint,feature_bundle_id
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,s01_s0101b_raw_nemo_buffer_000000-vad_percentile_rms-0000-0001-6728,s0101b:s01_s0101b_raw_nemo_buffer_000000-vad_percentile_rms-0000-0001-6728,6.728,1.568712,vad_percentile_rms,source_s0101b,6.656,6.748,-61.05255314249399,5.737704918032787,4.857410132101386,182.99999999999983,-61.62843056807124,-60.78277673900967,-0.8456538290615683,501.1185682326622,521.5123859191656,0.0013427734375,2.8272174742115527e-15,0.009735759410505954,0.004288786706009496,0.06872702836990356,64.00000000000006,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000001,s01_s0101b_raw_nemo_buffer_000001-vad_percentile_rms-0000-0000-7216,s0101b:s01_s0101b_raw_nemo_buffer_000001-vad_percentile_rms-0000-0000-7216,7.216,1.605949,vad_percentile_rms,source_s0101b,7.172,7.236,-60.588793731893546,5.208333333333333,17.088196902706606,40.000000000000036,-59.77008481707861,-52.19168165164258,-7.578403165436029,926.4475743348983,1403.9965247610774,0.003143310546875,4.789991852139642e-10,0.01212987852838263,0.004803376111992075,0.09378131479024887,48.00000000000004,1,1,,bad,bad,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000001,s01_s0101b_raw_nemo_buffer_000001-vad_percentile_rms-0000-0001-8716,s0101b:s01_s0101b_raw_nemo_buffer_000001-vad_percentile_rms-0000-0001-8716,8.716,1.431771,vad_percentile_rms,source_s0101b,8.672,8.732,-56.61211673596068,17.708333333333332,1.75795211709557,54.999999999999716,-57.84702572522026,-57.21592482989385,-0.6311008953264121,2715.404699738903,3140.825035561878,0.002227783203125,2.282176300419396e-13,0.07855292187343126,0.03244291433239748,0.17280920677714878,32.00000000000003,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000002,s01_s0101b_raw_nemo_buffer_000002-vad_percentile_rms-0000-0000-8944,s0101b:s01_s0101b_raw_nemo_buffer_000002-vad_percentile_rms-0000-0000-8944,8.944,1.543486,vad_percentile_rms,source_s0101b,8.868,8.964,-61.11782911005281,5.743243243243243,19.068518068981653,72.00000000000095,-61.12703558809203,-52.87019484488966,-8.256840743202368,676.056338028169,1013.2916340891322,0.00360107421875,1.577336030438706e-10,0.012862604117887602,0.0076491803723821436,0.21711896173655987,71.99999999999918,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000002,s01_s0101b_raw_nemo_buffer_000002-vad_percentile_rms-0000-0002-13600,s0101b:s01_s0101b_raw_nemo_buffer_000002-vad_percentile_rms-0000-0002-13600,13.6,1.573188,vad_percentile_rms,source_s0101b,13.52,13.628,-61.25277727376862,5.574324324324325,4.6320236227140725,191.00000000000074,-61.15899999958541,-61.82020954793387,0.6612095483484595,695.6521739130435,572.0670391061452,0.001312255859375,3.815418922643865e-15,0.011700117319199246,0.0052258039096013155,0.06760408232609431,71.99999999999918,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000003,s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0000-14208,s0101b:s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0000-14208,14.208,1.604006,vad_percentile_rms,source_s0101b,14.18,14.276,-60.66063534793332,6.660899653979238,15.401585836435373,72.00000000000095,-61.00271714410545,-60.997546665344636,-0.005170478760817332,528.6956521739131,679.3296089385475,0.00140380859375,1.1680185754681628e-14,0.012623094156430032,0.005538291458040797,0.010848601659138998,76.00000000000051,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000003,s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0001-15684,s0101b:s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0001-15684,15.684,1.56589,vad_percentile_rms,source_s0101b,15.528,15.768,-61.42142600037608,2.7681660899653977,7.583189543240707,279.9999999999994,-61.16056074294782,-61.21242277692505,0.05186203397722977,625.9780907668231,537.9202501954652,0.00140380859375,5.377984796844292e-15,0.012017752506484906,0.006122889012137327,0.05394833907485008,211.99999999999974,0,0,0,safe,safe,safe,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000003,s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0002-19720,s0101b:s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0002-19720,19.72,1.44754,vad_percentile_rms,source_s0101b,19.664,19.74,-61.50727588143882,2.6816608996539792,15.413849574979459,224.0000000000002,-61.02849256221448,-58.10878091825607,-2.919711643958408,651.0172143974961,1663.7998436278344,0.001708984375,7.867343571802483e-13,0.02115663427863764,0.014236141777713143,0.2891929857432842,8.000000000002672,0,0,0,safe,safe,safe,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000003,s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0003-23436,s0101b:s01_s0101b_raw_nemo_buffer_000003-vad_percentile_rms-0000-0003-23436,23.436,1.538618,vad_percentile_rms,source_s0101b,23.38,23.452,-60.70337739355823,6.57439446366782,5.415641983389605,150.9999999999998,-61.1784491095872,-60.83734294898914,-0.3411061605980592,710.1827676240209,637.2688477951637,0.001312255859375,4.426699282199066e-15,0.01145316668930375,0.004810585488665947,0.10683614677853054,44.00000000000048,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000004,s01_s0101b_raw_nemo_buffer_000004-vad_percentile_rms-0000-0000-24000,s0101b:s01_s0101b_raw_nemo_buffer_000004-vad_percentile_rms-0000-0000-24000,24.0,1.59846,vad_percentile_rms,source_s0101b,23.94,24.02,-61.15844393145976,14.285714285714286,20.337805449673724,56.00000000000094,-61.13900296226622,-52.55752907977111,-8.58147388249511,475.7433489827856,2251.7591868647382,0.003936767578125,1.4889994413771703e-10,0.009847824162619069,0.005364872875579392,0.14911518059670925,63.999999999996504,1,1,,bad,bad,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000004,s01_s0101b_raw_nemo_buffer_000004-vad_percentile_rms-0000-0001-24832,s0101b:s01_s0101b_raw_nemo_buffer_000004-vad_percentile_rms-0000-0001-24832,24.832,1.557007,vad_percentile_rms,source_s0101b,24.772,24.86,-62.85956212888712,2.6785714285714284,10.335091721160317,143.00000000000068,-59.86337601703845,-63.36824792321819,3.504871906179744,695.6521739130435,572.0670391061452,0.001617431640625,1.3476899301124564e-13,0.019001694670946204,0.007572872851865402,0.10099570949872334,59.99999999999872,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000005,s01_s0101b_raw_nemo_buffer_000005-vad_percentile_rms-0000-0000-25348,s0101b:s01_s0101b_raw_nemo_buffer_000005-vad_percentile_rms-0000-0000-25348,25.348,1.555866,vad_percentile_rms,source_s0101b,25.284,25.38,-58.82143254115065,14.227642276422765,17.576798798527577,72.00000000000273,-60.177054591943396,-55.33199122842569,-4.845063363517703,625.9780907668231,688.0375293197811,0.0023193359375,1.240712067157968e-10,0.006466204008065188,0.0032896587767473734,0.08238847553730011,80.00000000000185,1,1,,bad,bad,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000006,s01_s0101b_raw_nemo_buffer_000006-vad_percentile_rms-0000-0000-31588,s0101b:s01_s0101b_raw_nemo_buffer_000006-vad_percentile_rms-0000-0000-31588,31.588,1.524993,vad_percentile_rms,source_s0101b,31.556,31.648,-58.22001818842554,13.095238095238095,19.418805564838316,71.99999999999918,-57.88330524371362,-57.56009738827017,-0.32320785544344943,801.2519561815336,734.0980187695517,0.00213623046875,6.861837757364317e-13,0.01867479933059065,0.0029813865179305105,0.07541462091299203,71.99999999999918,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000006,s01_s0101b_raw_nemo_buffer_000006-vad_percentile_rms-0000-0001-32236,s0101b:s01_s0101b_raw_nemo_buffer_000006-vad_percentile_rms-0000-0001-32236,32.236,1.472075,vad_percentile_rms,source_s0101b,32.188,32.252,-60.665691335199924,2.380952380952381,8.97846127549311,38.99999999999437,-58.54911734453242,-60.10247307771646,1.5533557331840413,626.6318537859007,955.9032716927454,0.001922607421875,2.641914850204222e-13,0.019092477166093424,0.005676504897069032,0.18734224637349448,12.000000000000455,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000007,s01_s0101b_raw_nemo_buffer_000007-vad_percentile_rms-0000-0000-33028,s0101b:s01_s0101b_raw_nemo_buffer_000007-vad_percentile_rms-0000-0000-33028,33.028,1.546379,vad_percentile_rms,source_s0101b,32.964,33.056,-59.90592590335263,14.473684210526315,18.880388792546647,71.99999999999562,-59.59911615446212,-54.69539149182591,-4.903724662636215,1377.151799687011,1351.055512118843,0.00262451171875,7.947865762407288e-10,0.017031439054407873,0.004776706858425862,0.12313189543783665,76.00000000000051,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000007,s01_s0101b_raw_nemo_buffer_000007-vad_percentile_rms-0000-0001-33580,s0101b:s01_s0101b_raw_nemo_buffer_000007-vad_percentile_rms-0000-0001-33580,33.58,1.569554,vad_percentile_rms,source_s0101b,33.512,33.596,-60.856905981543576,6.578947368421052,7.407391387778901,94.99999999999886,-60.54762505634871,-61.382662137298276,0.8350370809495686,1211.4882506527415,1046.941678520626,0.00152587890625,3.045295345494044e-15,0.028307555394406478,0.006790881658284206,0.06902627150217693,55.999999999997385,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000008,s01_s0101b_raw_nemo_buffer_000008-vad_percentile_rms-0000-0000-34628,s0101b:s01_s0101b_raw_nemo_buffer_000008-vad_percentile_rms-0000-0000-34628,34.628,1.55416,vad_percentile_rms,source_s0101b,34.564,34.652,-61.14037403904634,8.75,5.190399193367604,63.00000000000239,-62.231672297375006,-60.83619242015146,-1.3954798772235435,1001.9569471624266,866.4259927797834,0.00140380859375,4.683650170987912e-14,0.027903706366281655,0.013017523215490885,0.09069676995277405,60.000000000002274,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000009,s01_s0101b_raw_nemo_buffer_000009-vad_percentile_rms-0000-0000-42292,s0101b:s01_s0101b_raw_nemo_buffer_000009-vad_percentile_rms-0000-0000-42292,42.292,1.596282,vad_percentile_rms,source_s0101b,42.18,42.464,-61.571817475646355,4.921259842519685,7.818261512133695,207.9999999999984,-61.43608730131874,-59.211771676470065,-2.2243156248486784,500.78247261345854,863.1743549648163,0.001434326171875,7.012710357424655e-13,0.011612359331304948,0.006563668664036601,0.06560609340667725,256.0000000000002,1,1,,bad,bad,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
o0_4_boundary_features_v1,phase10b_training_labels_v1,s01,s0101b,s01_s0101b_raw_nemo_buffer_000009,s01_s0101b_raw_nemo_buffer_000009-vad_percentile_rms-0000-0001-43712,s0101b:s01_s0101b_raw_nemo_buffer_000009-vad_percentile_rms-0000-0001-43712,43.712,1.507577,vad_percentile_rms,source_s0101b,43.656,43.74,-57.36221495397668,17.913385826771652,2.618916747881208,78.99999999999352,-58.022757259703404,-58.03273909268695,0.0099818329835486,3506.0869565217395,3682.68156424581,0.00201416015625,4.5935153096077035e-14,0.12884113435916436,0.07279687546056995,0.10806489261713895,55.999999999997385,,,,unknown,unknown,unknown,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,f4e25b65b86544658696408456f7f838
