speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,vad_observation_count,vad_timestamp_sha256,vad_probability_sha256,candidate_cutpoint_sha256,selected_clip_sha256,workdir
s01,s0101b,current_A,61,12,0.19672131147540983,7,1,0,0.11475409836065574,0.01639344262295082,0.0,62,13,0.20967741935483872,7,1,0,0.11290322580645161,0.016129032258064516,0.0,209.11561500000002,146.16466499999984,0.6989658089377966,160.66400000000013,31,5.182709677419359,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,69829,b5f8a95b25d461ec3215edf05f53a64020c432b08d7f50d8cefb5751856aba9b,384a554710434280e25c770cc87360cb0d79a3166be9cd62ec7f621d1a8f1c9b,835a283ac8a08d15a2c476ee85cc1038028df075c42b92849fa378efb48602be,6694f87bbf9bec0d96aa648a36a3c853910f2b919a606e785e1a7ee36fa5ab25,/tmp/buckeye_slicer_current_A_g7bwaz1d
s01,s0101b,proper_D,53,9,0.16981132075471697,4,1,0,0.07547169811320754,0.018867924528301886,0.0,54,9,0.16666666666666666,4,1,0,0.07407407407407407,0.018518518518518517,0.0,209.11561500000002,125.40575199999985,0.5996957807287602,138.65600000000003,27,5.135407407407409,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,69829,962658f962094f595f9b0cebfc00f56d83bd6d61daccfc01f6173c09c7055bc6,874417e3c83753978674a246cbdf37bdb8f41ee28bc6e79eb69892f80bb5a37b,919e164726688c2b703b3f629f60ccb1d9ac0f7278041a59994a0f650f221e80,e9b3e8da1848e91e41072705207748d1d321528a01ab07ccb74231c93652581c,/tmp/buckeye_slicer_proper_D_4qnfu8xq
s01,s0102a,current_A,93,17,0.1827956989247312,9,2,0,0.0967741935483871,0.021505376344086023,0.0,96,19,0.19791666666666666,10,3,0,0.10416666666666667,0.03125,0.0,315.34814700000044,218.65627400000017,0.693380557584186,244.55199999999982,48,5.094833333333329,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,75244,4168420175b9518f9058ff89351657540ffcba781092e077e1fd9034007337a3,7d25326a33a61de091d150f2f7008d881e094ea62c7ae4dfac29991456f1f5ec,6f0692a887c56eef7a5ba5f1d67e35b0d133e27ca8880ffcb22054594a29b89b,b93c904974ff334b02d8260c617da0587bd6d7ae2f503eb4ee338e4c5bc79dc1,/tmp/buckeye_slicer_current_A_wb_iaxeq
s01,s0102a,proper_D,88,14,0.1590909090909091,7,2,0,0.07954545454545454,0.022727272727272728,0.0,90,16,0.17777777777777778,7,2,0,0.07777777777777778,0.022222222222222223,0.0,315.34814700000044,206.4356650000002,0.6546278041075659,232.78399999999996,45,5.172977777777777,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,75244,06ffbaa6653164877f0cf46c9d15714ec374a696735d7436d97cb936e4537db4,8bddbaae662fe63a6ad5d1643accddd95ac73072c5f8e921cab50ebaa5a5fff1,88de09ceca58f4f53047366a8d01f7f8ba96c449233ce9cec96d2015ea34f20c,b260e1adb40688295693f68b0c546baf4b43f841e316ee29de1be753e9601bbc,/tmp/buckeye_slicer_proper_D_4_uftg0c
s01,s0102b,current_A,65,18,0.27692307692307694,14,2,0,0.2153846153846154,0.03076923076923077,0.0,70,21,0.3,16,3,0,0.22857142857142856,0.04285714285714286,0.0,247.2786510000001,160.4295300000001,0.6487803510380685,181.24000000000004,35,5.178285714285716,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,69505,052b56263617d73b0e0c3a987d45a90bc390cdbceaeb39b1d62e08d9cdf0a02e,87711b564c6e4d6a4083df2e4b6741fd162f86cec4f48c34803d08f684ab3cec,a6b26bbc95c28fbfaf98daa8f068e92166d3aa1ca13fe1aed64018b258befe8b,8c89182b608ae11bb79a31a7f6567e6a38c455090018906cae89a367b75afb7d,/tmp/buckeye_slicer_current_A_txe4_mi0
s01,s0102b,proper_D,56,10,0.17857142857142858,4,0,0,0.07142857142857142,0.0,0.0,60,10,0.16666666666666666,4,0,0,0.06666666666666667,0.0,0.0,247.2786510000001,139.22120899999993,0.5630134604705518,157.096,30,5.236533333333333,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,69505,bc80d6e6c4256af680ff5f2b3c42561827c99014db77ea24260832d67ee76501,c20b055b047f7a37bbb4af99fc228e3bd910dfa3662ad75d8386db1675f0847d,aa4c11f9037e980baff82b9b0b593641c68a6ad218919b42cff4f2f63219f6ce,9807895de917bfa75fc1df8b4ca86834bf9d3149b39296a9a6270c2afb6c10a4,/tmp/buckeye_slicer_proper_D_t36pwrtt
s01,s0103a,current_A,49,11,0.22448979591836735,3,2,1,0.061224489795918366,0.04081632653061224,0.02040816326530612,50,12,0.24,4,3,2,0.08,0.06,0.04,184.805317,119.40362199999997,0.6461049061699884,130.848,25,5.23392,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,53796,2788a70ecbe971b843b1a7412258dd6fca21a0a39cb2f6af354f945f3db002dd,fe8db971d76d15ffcd7e50850c88afc413c4171869fc07318d19910da59e0d37,d65315883d527ba03889ad68426efe50edde4dc9021d805a4cf8ff556357d287,3399780d115c69b02bb74cbf41e173857264637b8d3b0472e7381a95d2a77fc9,/tmp/buckeye_slicer_current_A_mk9i1v9q
s01,s0103a,proper_D,43,8,0.18604651162790697,5,2,1,0.11627906976744186,0.046511627906976744,0.023255813953488372,44,9,0.20454545454545456,6,3,2,0.13636363636363635,0.06818181818181818,0.045454545454545456,184.805317,107.36742700000002,0.5809758547152625,118.02400000000004,22,5.364727272727275,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,53796,222a9a2a1890817d7f2053e4404ede3ac8373058f8d3864524fb9de9328da9ca,9ba691484105a4e737b4ec4fe0106261c5f3094fd998fd47d3162e04d2e7f24c,1cef63b12e646231e4327b959b812fd4640a20f107899f19ea64623be1351e18,489d0bb00a32c618baddbc703d053e17ed0dadc5ae0794bd77b0a327f610a460,/tmp/buckeye_slicer_proper_D_x7lvaajw
s02,s0201b,current_A,23,2,0.08695652173913043,0,0,0,0.0,0.0,0.0,26,2,0.07692307692307693,0,0,0,0.0,0.0,0.0,84.13449100000008,65.20768599999997,0.7750410708492894,71.96800000000003,13,5.536000000000002,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,32484,8b2efa05a43b198d1fc7be34bc4d73cdbd2fe9258a1118ced61c942016203f41,68734076bed194547a53560ffd2079703f6cd9c224ffa7d03ddb39f86eb75b8a,41f59f5212a17f99a1653d1d17cf5ec3a663aaaba2ef7be5c145745fcb8a3fcc,bcb6a571f8b361d387e736ec13f8d13acd5ae2809a705d0d0b58e9a2071fc64c,/tmp/buckeye_slicer_current_A_qrzxtd49
s02,s0201b,proper_D,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,84.13449100000008,41.37084499999999,0.4917227703915146,46.36800000000005,9,5.1520000000000055,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,32484,7764fc90e1c0ed7b572c39b39598fc51e57885c599e326fabe3c27dd497f4c20,7ab18180177334e785d91da63393962528534f92dda4c2c63df2c2c686c700a9,7b85bf54f00f0b0faf61dcdf6e7acb9e60cef23df79d9c3d481fcbd07a6a07f3,faf10dcb889871528f14673acefa45dc8b6a5c1600028b710a5edd2bea227fdd,/tmp/buckeye_slicer_proper_D_12o2flyr
s02,s0202b,current_A,53,3,0.05660377358490566,2,0,0,0.03773584905660377,0.0,0.0,56,3,0.05357142857142857,2,0,0,0.03571428571428571,0.0,0.0,188.87636500000005,153.01229800000002,0.8101188203193129,171.736,28,6.1334285714285715,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,53935,48167044e025dda4045fe3327947e1d9400d66cc205af3fcb1543b0cafe9cd53,b578cce9b8a373f67d0cdeb14cc4a8f0b16c84118b10174ad7a9daa7b8204327,0415a0e4b006a3eb6f0953e5519d4238852837b48156cdfbf7100dfdef360891,4d64cd323a2b204d62d27418baa82e3fbbc4e6dd29d2290c6511125c508a4884,/tmp/buckeye_slicer_current_A_0odwi6ts
s02,s0202b,proper_D,48,1,0.020833333333333332,0,0,0,0.0,0.0,0.0,50,1,0.02,0,0,0,0.0,0.0,0.0,188.87636500000005,141.02551399999996,0.7466551677866097,157.91200000000003,25,6.316480000000001,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,53935,eb877ad4228daa6c5ed56c92c4e61befc4768bdeead8af0a0c3ccbce60ca5d6c,cce07662e01ef31893ca396d4071f1cbed888ea8d2050c56a6fe9022e3516071,08d31d6a49fdba5fc33739ad3e4e59451c40b76ce00bbd929f9b415101e37b0d,f4fd5594ac63dc45f31d86961795e667d12e9d972424c03cb8d0ccf84b2756d6,/tmp/buckeye_slicer_proper_D_2mobio8m
