geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,1.328,3.022,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,45.0,43.689,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000032,158.376,23.724,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000038,244.12,8.0,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000039,251.464,10.794,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000045,304.344,11.288,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,348.32,21.481,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,356.12,71.063,True,True,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,392.456,8.191,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,435.496,24.0,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000067,474.224,32.0,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000071,506.808,27.041,True,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000015,94.264,21.787,True,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000032,158.368,15.724,False,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000038,244.128,16.0,False,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,348.328,29.481,True,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,355.304,9.353,False,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,393.72,9.093,False,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,435.488,16.0,False,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000067,474.224,32.0,True,False,False
D_O0_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000071,507.32,51.014,True,True,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,1.336,4.978,False,False,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000005,25.344,35.88,True,False,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,44.792,25.956,True,False,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000024,122.016,48.0,True,False,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000024,125.808,16.268,False,False,False
O75_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000026,132.512,5.095,False,False,False
