geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,1.328,3.022,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,45.0,43.689,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000032,158.376,23.724,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000038,244.12,8.0,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000039,251.464,10.794,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000045,304.344,11.288,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,348.32,21.481,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,356.12,71.063,True,True,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,392.456,8.191,False,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,435.496,24.0,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000067,474.224,32.0,True,False,False
A_O50_8,s01,s0101b,s01_s0101b_raw_nemo_buffer_000071,506.808,27.041,True,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,1.94,3.929,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000015,94.244,1.787,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000032,158.372,19.724,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000038,244.14,28.0,True,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,348.316,17.481,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,355.284,29.353,True,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,393.716,5.093,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,435.496,24.0,True,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000067,474.208,16.0,False,False,False
O25_4_CURRENT,s01,s0101b,s01_s0101b_raw_nemo_buffer_000071,507.304,67.014,True,True,False
O25_4_RMS_PROMINENCE,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,1.94,3.929,False,False,False
O25_4_RMS_PROMINENCE,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,6.272,41.188,True,False,False
O25_4_RMS_PROMINENCE,s01,s0101b,s01_s0101b_raw_nemo_buffer_000015,94.244,1.787,False,False,False
