raw_clip_count,raw_emitted_sec,clips_lt_3,clips_gt_15,legal_clip_count,native_compatible,note,speaker_id,recording_id,system,mode,elapsed_sec,detector_runtime_sec,packing_runtime_sec
87,229.00099999999995,51,0,36,True,native legal clips scored without merge/truncate,s01,s0101b,OpenVPI_native,native,0.022821,0.019613526012108196,0.0
77,239.34899999999985,45,0,32,True,native legal clips scored without merge/truncate,s01,s0101b,librosa_native,native,1.852984,1.8496489330009354,0.0
17,12.255999999999936,17,0,0,False,native output not directly benchmark-compatible,s01,s0101b,pydub_native,native,3.074375,3.071253264000916,0.0
77,239.34899999999985,45,0,32,True,native legal clips scored without merge/truncate,s01,s0101b,ffmpeg_native,native,2.461472,2.456545611994443,0.0
24,97.33399999999997,13,1,10,True,native legal clips scored without merge/truncate,s02,s0201b,OpenVPI_native,native,0.009219,0.008097842995994142,0.0
23,97.63199999999998,12,1,10,True,native legal clips scored without merge/truncate,s02,s0201b,librosa_native,native,1.631297,1.6295420599926729,0.0
17,6.222999999999979,17,0,0,False,native output not directly benchmark-compatible,s02,s0201b,pydub_native,native,1.474738,1.4735620679985004,0.0
23,97.63199999999998,12,1,10,True,native legal clips scored without merge/truncate,s02,s0201b,ffmpeg_native,native,0.776531,0.7750229869961913,0.0
40,176.43799999999996,17,0,23,True,native legal clips scored without merge/truncate,s03,s0301a,OpenVPI_native,native,0.01448,0.012860243001341587,0.0
28,176.79999999999995,14,2,12,True,native legal clips scored without merge/truncate,s03,s0301a,librosa_native,native,0.009347,0.00793796600191854,0.0
3,1.9200000000000088,3,0,0,False,native output not directly benchmark-compatible,s03,s0301a,pydub_native,native,2.787844,2.786168953000015,0.0
28,176.79999999999995,14,2,12,True,native legal clips scored without merge/truncate,s03,s0301a,ffmpeg_native,native,0.995589,0.9935308120002446,0.0
160,364.83199999999897,121,0,39,True,native legal clips scored without merge/truncate,s04,s0401b,OpenVPI_native,native,0.03422,0.02964134000467311,0.0
149,367.1039999999989,112,0,37,True,native legal clips scored without merge/truncate,s04,s0401b,librosa_native,native,0.022456,0.018274514004588127,0.0
46,29.535999999999554,46,0,0,False,native output not directly benchmark-compatible,s04,s0401b,pydub_native,native,4.346961,4.341631170007531,0.0
149,367.1039999999989,112,0,37,True,native legal clips scored without merge/truncate,s04,s0401b,ffmpeg_native,native,4.681424,4.671834074029903,0.0
88,272.8836249999997,45,0,43,True,native legal clips scored without merge/truncate,s06,s0601a,OpenVPI_native,native,0.020517,0.01755412600687123,0.0
87,273.1536249999997,44,0,43,True,native legal clips scored without merge/truncate,s06,s0601a,librosa_native,native,0.01582,0.012955311001860537,0.0
