geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000015,94.264,21.787,True,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000032,158.356,3.724,False,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000038,244.14,28.0,True,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,348.328,29.481,True,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,355.3,13.353,False,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,393.72,9.093,False,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,435.488,16.0,False,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000067,474.224,32.0,True,False,False
O0_4,s01,s0101b,s01_s0101b_raw_nemo_buffer_000071,507.324,47.014,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000000,6.2299999999999995,21.482,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000003,21.052,30.0,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,49.416,10.126,False,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,49.566,18.294,False,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000026,133.046,18.647,False,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000026,139.916,13.321,False,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000040,263.94599999999997,32.531,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000042,277.546,44.461,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,353.142,29.063,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,392.86800000000005,55.815,True,True,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000063,440.23199999999997,39.491,True,False,False
OpenVPI_native,s01,s0101b,s01_s0101b_raw_nemo_buffer_000072,516.73,27.681,True,False,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000010,49.416,10.126,False,False,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000026,133.046,18.647,False,False,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000026,139.916,13.321,False,False,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000051,353.142,29.063,True,False,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,392.86800000000005,55.815,True,True,False
OpenVPI_common_packer,s01,s0101b,s01_s0101b_raw_nemo_buffer_000057,398.918,38.36,True,False,False
O0_4,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,242.2,30.934,True,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000002,8.129,12.0,False,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000002,16.814,25.147,True,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000002,21.8595,30.5,True,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000016,211.06300000000002,12.0,False,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000016,217.36900000000003,39.0,True,False,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,241.9175,56.5,True,True,False
pydub_common_packer,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,246.805,13.0,False,False,False
O0_4,s03,s0301a,s03_s0301a_raw_nemo_buffer_000009,135.764,4.0,False,False,False
O0_4,s03,s0301a,s03_s0301a_raw_nemo_buffer_000018,219.668,4.0,False,False,False
O0_4,s03,s0301a,s03_s0301a_raw_nemo_buffer_000023,285.948,42.122,True,False,False
OpenVPI_native,s03,s0301a,s03_s0301a_raw_nemo_buffer_000003,93.64200000000001,6.0,False,False,False
OpenVPI_native,s03,s0301a,s03_s0301a_raw_nemo_buffer_000016,171.37,19.853,False,False,False
OpenVPI_common_packer,s03,s0301a,s03_s0301a_raw_nemo_buffer_000003,93.64200000000001,6.0,False,False,False
O0_4,s04,s0401b,s04_s0401b_raw_nemo_buffer_000026,89.268,4.0,False,False,False
O0_4,s04,s0401b,s04_s0401b_raw_nemo_buffer_000035,137.94,4.0,False,False,False
O0_4,s04,s0401b,s04_s0401b_raw_nemo_buffer_000040,163.508,31.125,True,False,False
O0_4,s04,s0401b,s04_s0401b_raw_nemo_buffer_000116,452.676,63.125,True,True,False
OpenVPI_native,s04,s0401b,s04_s0401b_raw_nemo_buffer_000040,169.012,4.125,False,False,False
OpenVPI_native,s04,s0401b,s04_s0401b_raw_nemo_buffer_000061,234.66400000000002,30.875,True,False,False
OpenVPI_native,s04,s0401b,s04_s0401b_raw_nemo_buffer_000071,275.396,23.875,True,False,False
OpenVPI_common_packer,s04,s0401b,s04_s0401b_raw_nemo_buffer_000071,275.396,23.875,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000033,239.06,4.0,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000038,267.9,39.149,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000041,286.968,24.0,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000043,296.264,8.0,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000056,379.812,12.0,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000058,391.088,42.179,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000067,450.624,32.638,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000070,477.396,4.0,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000078,536.452,24.868,True,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000084,584.912,13.927,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000084,589.964,4.0,False,False,False
O0_4,s06,s0601a,s06_s0601a_raw_nemo_buffer_000085,591.108,20.0,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000005,63.06,2.675,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000024,155.076,18.82,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000026,166.956,28.0,True,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000027,173.98,12.0,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000030,192.272,1.02,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000032,204.188,1.69,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000054,284.532,4.0,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000067,313.208,8.0,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000114,523.748,15.902,False,False,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000115,529.708,55.141,True,True,False
O0_4,s08,s0801a,s08_s0801a_raw_nemo_buffer_000126,576.92,11.59,False,False,False
OpenVPI_native,s08,s0801a,s08_s0801a_raw_nemo_buffer_000024,160.66600000000003,68.113,True,True,False
OpenVPI_native,s08,s0801a,s08_s0801a_raw_nemo_buffer_000079,361.082,58.274,True,True,False
OpenVPI_native,s08,s0801a,s08_s0801a_raw_nemo_buffer_000122,561.6,5.961,False,False,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000051,233.72,8.0,False,False,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000052,241.252,1.0,False,False,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000055,252.816,29.628,True,False,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000058,273.96,18.0,False,False,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000064,295.304,54.037,True,True,False
O0_4,s11,s1101a,s11_s1101a_raw_nemo_buffer_000083,339.336,56.0,True,True,False
